timestamp,x,y,z
10892018677,0,0,0
10892018691,-0.00245927,-0.00239911,0.0168219
10892018700,-0.00677011,-0.00563513,0.0505422
10892018708,-0.0126548,-0.0088748,0.0846407
10892018716,-0.0170962,-0.00927655,0.119913
10892018724,-0.0198795,-0.010628,0.136469
10892018731,-0.0256149,-0.0118212,0.171767
10892018739,-0.0284144,-0.0132165,0.210345
10892018745,-0.0295163,-0.0143835,0.230046
10892018753,-0.0363926,-0.0157939,0.272304
10892018759,-0.0365882,-0.0159893,0.294044
10892018766,-0.0422189,-0.0184517,0.341352
10892018774,-0.0459595,-0.0216404,0.388384
10892018782,-0.0499158,-0.0258773,0.434333
10892018788,-0.0527395,-0.0281367,0.458266
10892018796,-0.0530723,-0.036672,0.499876
10892018803,-0.054758,-0.0443737,0.538196
10892018811,-0.0555272,-0.0523175,0.576654
10892018818,-0.0537418,-0.0551071,0.596641
10892018826,-0.0513607,-0.0624098,0.635254
10892018834,-0.0521668,-0.0668301,0.673206
10892018841,-0.0508768,-0.0691464,0.692262
10892018849,-0.0513725,-0.0726819,0.732249
10892018856,-0.0543278,-0.0754249,0.774082
10892018865,-0.0546895,-0.0752239,0.796353
10892018873,-0.0586743,-0.0812358,0.839293
10892018881,-0.0630345,-0.0848757,0.881309
10892018889,-0.06731,-0.0867476,0.902759
10892018896,-0.0700296,-0.0919524,0.945034
10892018904,-0.0769948,-0.101445,0.986709
10892018912,-0.0770387,-0.105972,1.00554
10892018920,-0.0789783,-0.112592,1.04802
10892018927,-0.0825701,-0.116549,1.0875
10892018933,-0.0829271,-0.117478,1.10742
10892018940,-0.0831895,-0.118756,1.14962
10892018946,-0.0834119,-0.120267,1.1712
10892018954,-0.084412,-0.124288,1.21644
10892018962,-0.0860251,-0.128812,1.26448
10892018969,-0.0847682,-0.13229,1.2924
10892018975,-0.0838909,-0.135004,1.34202
10892018985,-0.0833549,-0.141195,1.39157
10892018992,-0.0847764,-0.142263,1.41467
10892018999,-0.0808025,-0.148409,1.46204
10892019006,-0.0823015,-0.154101,1.50476
10892019013,-0.0804596,-0.160249,1.52647
10892019021,-0.080778,-0.164544,1.56818
10892019028,-0.0776919,-0.167751,1.60882
10892019035,-0.0787348,-0.169919,1.63049
10892019042,-0.0785265,-0.171248,1.67178
10892019049,-0.0776084,-0.174189,1.71792
10892019056,-0.0777731,-0.176575,1.74147
10892019064,-0.0763099,-0.17916,1.78719
10892019071,-0.0773546,-0.183395,1.83328
10892019078,-0.0776441,-0.187877,1.87931
10892019084,-0.0762232,-0.19132,1.90137
10892019091,-0.0776948,-0.199142,1.94206
10892019098,-0.0791534,-0.203635,1.96479
10892019106,-0.0798877,-0.213055,2.00365
10892019113,-0.0808487,-0.217811,2.04501
10892019119,-0.0824304,-0.218328,2.08889
10892019127,-0.084074,-0.219674,2.11278
10892019134,-0.0881675,-0.218606,2.15482
10892019140,-0.0895944,-0.219056,2.17556
