timestamp,x,y,z
3579593795,-2.91038e-11,3.0797e-22,1.69407e-21
3579593818,-0.00143298,-0.0078246,0.018748
3579593832,-0.00493111,-0.0123762,0.0334455
3579593845,-0.00727008,-0.0160232,0.0416044
3579593856,-0.010534,-0.0191509,0.0501653
3579593868,-0.0137424,-0.0232297,0.0591559
3579593881,-0.0141059,-0.0245987,0.0678876
3579593900,-0.0151622,-0.0265233,0.0761152
3579593920,-0.0150188,-0.0290888,0.0852959
3579593933,-0.0165343,-0.034517,0.0966631
3579593942,-0.0147611,-0.0384742,0.110028
3579593952,-0.0118678,-0.0422448,0.12387
3579593962,-0.00827694,-0.0481381,0.136807
3579593972,-0.00668914,-0.0517181,0.149635
3579593983,-0.00506259,-0.0551394,0.162306
3579593992,-0.0019347,-0.0622053,0.174896
3579594001,0.00106427,-0.0681795,0.189055
3579594011,0.00548081,-0.0749443,0.201
3579594020,0.0080126,-0.0795295,0.210958
3579594030,0.00902388,-0.0843122,0.221043
3579594039,0.0122069,-0.0891829,0.231987
3579594049,0.0175961,-0.0934596,0.242988
3579594058,0.0253325,-0.0988929,0.253343
3579594068,0.0305166,-0.102134,0.263005
3579594078,0.033223,-0.105038,0.273204
3579594087,0.0349689,-0.10712,0.282722
3579594096,0.0357908,-0.108288,0.290717
3579594105,0.0365056,-0.10815,0.299215
3579594115,0.0379154,-0.108186,0.308137
3579594125,0.036697,-0.110304,0.317846
3579594136,0.0345246,-0.116257,0.329515
3579594145,0.0313729,-0.121717,0.345716
3579594154,0.0278318,-0.13064,0.363841
3579594164,0.0226052,-0.141365,0.383409
3579594173,0.0180336,-0.152399,0.399862
3579594182,0.0135919,-0.161438,0.413069
3579594191,0.00773312,-0.171213,0.431657
3579594200,0.00464098,-0.178704,0.4478
3579594210,0.00302452,-0.18665,0.463546
3579594223,0.00133438,-0.190881,0.468186
3579594232,-0.000874924,-0.194613,0.478184
3579594242,-0.00308778,-0.197578,0.487342
3579594251,-0.00474319,-0.199784,0.496702
3579594260,-0.00621576,-0.203187,0.50546
3579594269,-0.00849542,-0.205988,0.516384
3579594279,-0.00942833,-0.208072,0.527522
3579594288,-0.0107723,-0.211755,0.537742
3579594299,-0.0112931,-0.214675,0.552843
