timestamp,x,y,z
13741640555,-0.290222,-0.0426164,0.462316
13741640566,0.307502,-0.0418168,0.424858
13741640567,-0.355296,-0.163465,0.771585
13741640568,-0.147104,-0.48611,1.56914
13741640569,0.191846,-0.268919,1.0176
13741640570,-0.528489,-0.518753,1.66651
13741820618,-0.292829,-0.0510893,0.470106
13741820627,0.325226,-0.0463773,0.439146
13741820629,0.188115,-0.262192,1.00758
13741820630,-0.353012,-0.162843,0.776689
13741820631,-0.151844,-0.499203,1.58989
13741820632,-0.533034,-0.534263,1.69401
13741820633,-0.360244,-0.157764,0.752553
13741820634,-0.458927,-0.263454,0.96394
13741949524,-0.290497,-0.0452232,0.470116
13741949539,0.314773,-0.0532095,0.424211
13741949541,-0.149237,-0.498747,1.59149
13741949543,-0.3464,-0.158064,0.772765
13741949545,0.189198,-0.260857,1.0055
13741949546,-0.531119,-0.531051,1.68769
13741949548,-0.459664,-0.257945,0.96743
13742050884,0.306556,-0.0492264,0.418469
13742050893,-0.2926,-0.0453206,0.480677
13742050894,-0.147545,-0.485563,1.57969
13742050895,-0.356546,-0.161809,0.763856
13742050896,0.185511,-0.258345,1.00693
13742050897,-0.535702,-0.531849,1.70246
13742156749,0.313462,-0.0500138,0.430121
13742156757,-0.292919,-0.0468388,0.480082
13742156758,0.190704,-0.27012,1.00672
13742156759,-0.353681,-0.150164,0.75798
13742156760,-0.148068,-0.486644,1.58342
13742156761,-0.532025,-0.52395,1.68418
13742256219,-0.296178,-0.0616983,0.471312
13742256228,0.3074,-0.0476837,0.426784
13742256229,0.191574,-0.269147,1.00904
13742256230,-0.348506,-0.145552,0.765052
13742256231,-0.529655,-0.530695,1.7031
13742256232,-0.157965,-0.525076,1.65343
13742357765,0.306238,-0.0447535,0.420485
13742357773,-0.295662,-0.0605785,0.470597
13742357775,0.192288,-0.269247,1.0105
13742357776,-0.153547,-0.5097,1.62067
13742357777,-0.391904,-0.182881,0.867332
13742357778,-0.526454,-0.52558,1.69147
13742469301,-0.295914,-0.0616336,0.465943
13742469312,0.307663,-0.0434413,0.420526
13742469314,-0.155339,-0.510026,1.62429
13742469317,0.194004,-0.270684,1.00185
13742469319,-0.388526,-0.183266,0.874097
13742469321,-0.526361,-0.51886,1.67711
13742564949,0.307889,-0.0563844,0.415213
13742564958,-0.293821,-0.0561201,0.467976
13742564959,-0.148455,-0.488146,1.58321
13742564960,0.194229,-0.267354,1.00752
13742564961,-0.355935,-0.160482,0.761797
13742564962,-0.519815,-0.512439,1.6617
13742667266,-0.294657,-0.0636842,0.47148
13742667274,0.311031,-0.0466538,0.425296
13742667275,0.189652,-0.26186,1.00785
13742667276,-0.158371,-0.528823,1.65452
13742667277,-0.529724,-0.524072,1.67419
13742667278,-0.343263,-0.146265,0.754505
13742667279,-0.432257,-0.243896,0.913966
13742767479,0.310431,-0.0494787,0.422427
13742767488,-0.293318,-0.055734,0.465797
13742767489,0.196921,-0.269317,1.00838
13742767490,-0.152119,-0.502542,1.59957
13742767496,-0.347825,-0.15576,0.773349
13742767497,-0.531322,-0.527751,1.67836
13742767498,-0.427061,-0.238587,0.906657
13742862974,0.310544,-0.0453613,0.421052
13742862983,-0.301114,-0.061062,0.476245
