timestamp,x,y,z
11092510737,-0.352763,0.123837,0.489028
11092510746,-0.371107,0.0826603,0.623376
11092510747,-0.920403,0.053943,1.00766
11092510748,-1.01607,-0.11943,2.1965
11092510749,-0.425661,-0.0828937,1.82685
11092510750,0.228176,-0.0400703,1.25043
11092686601,-0.360555,0.110122,0.473769
11092686607,-0.381112,0.0856411,0.634983
11092686608,-0.915897,0.0998735,0.89354
11092686609,-0.859371,0.0549259,0.945855
11092686610,-0.954928,-0.0783453,2.0804
11092686611,-1.4575,0.0845354,1.29883
11092686612,0.230568,-0.0402631,1.25892
11092686612,-0.42411,-0.0718917,1.80447
11092790843,-0.351707,0.107343,0.463996
11092790856,-0.382287,0.0838697,0.649029
11092790857,-0.88175,0.0527331,0.967218
11092790859,-0.915897,0.0998735,0.89354
11092790860,-0.96059,-0.0823544,2.09751
11092790861,0.227317,-0.0392142,1.24041
11092790862,-0.419796,-0.0742682,1.79955
11092895037,-0.373166,0.112836,0.483459
11092895176,-0.38155,0.0932005,0.638056
11092895178,0.225883,-0.0385856,1.23381
11092895185,-0.930519,-0.0552687,2.05338
11092895187,-0.415713,-0.0746192,1.78912
11092895188,-1.26049,0.0786561,1.28933
11093004235,-0.363082,0.11906,0.497081
11093004245,-0.377413,0.0966761,0.629016
11093004246,-0.915897,0.0998735,0.89354
11093004247,-0.865195,0.071974,0.961033
11093004248,-0.964035,-0.0849454,2.10539
11093004249,-0.417163,-0.0750351,1.79167
11093004249,-1.50307,0.115089,1.36708
11093004250,0.22391,-0.0146664,1.19404
11093004251,-1.06773,0.0667948,1.125
11093106486,-0.339465,0.134123,0.488312
11093106493,-0.368929,0.0862114,0.628434
11093106494,-0.859893,0.053208,0.945736
11093106495,0.217355,-0.0195015,1.18749
11093106496,-0.977979,-0.0893329,2.13242
11093106496,-0.421898,-0.0740194,1.79722
11093106497,-1.37766,0.10211,1.25567
11093106498,-1.04059,0.0654619,1.09952
11093215468,-0.445301,0.0923651,0.71316
11093215477,-0.363614,0.109363,0.483486
11093215479,-1.15366,0.077511,1.21777
11093215480,0.230918,-0.0392129,1.25904
11093215481,-0.960055,-0.0784019,2.10672
11093215482,-0.412911,-0.0698583,1.77091
11093215484,-1.17264,0.0722044,1.21914
11093215485,-1.38028,0.102332,1.25735
11093215486,-1.76737,0.0665882,1.72658
11093321628,-0.355645,0.11534,0.481599
11093321634,-0.370478,0.085252,0.622264
11093321635,-0.96207,0.0774962,1.04625
11093321636,-0.966108,-0.0786336,2.11489
11093321637,0.230918,-0.0392129,1.25904
11093321638,-0.426992,-0.0837409,1.83306
11093321638,-1.11281,0.0669104,1.17786
11093422086,-0.359761,0.0958435,0.458223
11093422092,-0.369296,0.0801718,0.621379
11093422093,-1.02023,0.0836155,1.09321
11093422094,-0.974185,-0.0841124,2.12342
11093422095,0.230918,-0.0392129,1.25904
11093422096,-0.425366,-0.0827852,1.82483
11093422097,-1.72975,0.0636802,1.69371
11093422097,-1.1995,0.0749286,1.2344
11093532430,-0.353148,0.126164,0.476635
11093532436,-0.372705,0.0867684,0.624637
11093532438,-0.847277,0.0792709,0.949927
11093532438,0.231663,-0.0397037,1.26113
11093532439,-0.973789,-0.0874881,2.13283
11093532440,-0.425366,-0.0827852,1.82483
11093532441,-1.15891,0.069182,1.23734
11093637397,-0.365103,0.117198,0.479466
11093637405,-0.371058,0.0857441,0.623186
11093637406,-0.860984,0.0678369,0.953137
11093637407,0.227435,-0.0381607,1.24029
11093637408,-0.960978,-0.0857725,2.09488
11093637409,-0.425377,-0.0828073,1.82479
11093637410,-2.46147,0.0585921,2.2709
11093735861,-0.363976,0.116467,0.49432
11093735870,-1.13344,0.0686037,1.19981
11093735871,0.229441,-0.0390745,1.24492
11093735872,-0.980903,-0.113884,2.11666
11093735873,-0.401632,-0.0616566,1.72349
11093735874,-2.48276,0.0612648,2.29011
11093735874,-1.13344,0.0686037,1.19981
11093837363,-0.366325,0.0979471,0.615286
