timestamp,x,y,z
3981319892,-1.81899e-12,-2.32831e-10,2.32831e-10
3981319915,0.00570806,-0.00941255,0.02731
3981319932,0.0125844,-0.0151962,0.0606726
3981319947,0.0158695,-0.0206504,0.0859059
3981319961,0.0194168,-0.0289202,0.111779
3981319976,0.0216085,-0.0381567,0.133956
3981319991,0.0288835,-0.0490107,0.163214
3981320005,0.0329495,-0.0609436,0.188325
3981320018,0.0362121,-0.0716896,0.214007
3981320031,0.0363142,-0.0763021,0.226137
3981320044,0.0410881,-0.0884477,0.254445
3981320058,0.0438324,-0.100501,0.281829
3981320072,0.047268,-0.116207,0.317604
3981320099,0.0487934,-0.127074,0.33583
3981320117,0.0526653,-0.134265,0.357197
3981320131,0.0528966,-0.146002,0.373685
3981320145,0.0533779,-0.151905,0.394866
3981320158,0.0552149,-0.160503,0.418851
3981320172,0.0525687,-0.168415,0.442788
3981320186,0.052918,-0.176619,0.461271
3981320198,0.052414,-0.186051,0.499145
3981320210,0.0476553,-0.19464,0.519372
3981320222,0.0458751,-0.204965,0.546797
3981320235,0.0411009,-0.214907,0.575031
3981320248,0.0395744,-0.229357,0.599804
3981320261,0.0389768,-0.244282,0.623417
3981320274,0.0438065,-0.257409,0.656583
3981320286,0.0401842,-0.268052,0.689942
3981320303,0.0413154,-0.276117,0.717341
3981320319,0.0369994,-0.291648,0.753596
3981320332,0.0333266,-0.299975,0.777908
3981320344,0.0345217,-0.307569,0.803663
3981320356,0.0333105,-0.317147,0.824286
3981320369,0.0335389,-0.325182,0.85104
3981320386,0.0357183,-0.334662,0.866835
3981320398,0.0356784,-0.344451,0.887161
3981320410,0.038161,-0.346703,0.917849
3981320423,0.0380889,-0.354636,0.942285
3981320435,0.0413585,-0.363162,0.969257
3981320451,0.0420411,-0.377797,1.02145
3981320464,0.0477452,-0.385998,1.04855
3981320476,0.0497551,-0.400931,1.07946
3981320488,0.0511103,-0.41589,1.11247
3981320500,0.0553389,-0.42542,1.14887
3981320511,0.0606343,-0.440376,1.17022
3981320523,0.0678837,-0.455627,1.19622
3981320534,0.0676149,-0.470362,1.22222
3981320546,0.0738958,-0.482771,1.26422
3981320558,0.0718061,-0.493289,1.28789
3981320570,0.0739688,-0.499556,1.31056
3981320581,0.0738013,-0.504883,1.33564
3981320593,0.0761228,-0.514025,1.36323
3981320605,0.0767078,-0.527571,1.39853
3981320618,0.0740289,-0.53638,1.43234
3981320631,0.0696855,-0.544903,1.46936
3981320643,0.069012,-0.555402,1.50744
3981320655,0.0683723,-0.570583,1.53814
3981320667,0.0689094,-0.585667,1.56201
3981320679,0.0692296,-0.596137,1.59032
3981320694,0.0680175,-0.609882,1.61864
3981320706,0.0640866,-0.617049,1.64829
3981320719,0.0614784,-0.632983,1.68056
3981320731,0.0607454,-0.64301,1.70701
3981320743,0.0578047,-0.650663,1.72768
3981320755,0.0537552,-0.664652,1.74848
3981320767,0.0567544,-0.671766,1.76748
3981320780,0.0545791,-0.681703,1.78928
3981320812,0.0580443,-0.690366,1.82793
3981320832,0.0620608,-0.694541,1.83618
3981320849,0.0609759,-0.706884,1.87747
3981320863,0.0555555,-0.717043,1.90361
3981320875,0.0559037,-0.726464,1.93472
3981320887,0.0568074,-0.738596,1.95359
3981320899,0.0551024,-0.749967,1.98724
3981320910,0.0510362,-0.768072,2.02904
3981320922,0.0494866,-0.772377,2.05639
3981320936,0.0514799,-0.784574,2.08292
3981320947,0.0526835,-0.796312,2.10494
3981320959,0.0524881,-0.803836,2.12791
3981320974,0.0500374,-0.810263,2.14958
3981320987,0.0527831,-0.819689,2.17067
3981321003,0.0456434,-0.82877,2.20278
3981321014,0.0441326,-0.831097,2.21285
3981321025,0.035554,-0.836882,2.248
3981321036,0.0301878,-0.842361,2.27297
3981321048,0.0203335,-0.84891,2.29799
3981321060,0.0159557,-0.859878,2.32362
3981321071,0.00428909,-0.873785,2.3536
3981321086,-0.00305432,-0.887187,2.37896
3981321097,-0.0105598,-0.899902,2.40737
3981321109,-0.0166357,-0.913721,2.43547
3981321120,-0.0258995,-0.923518,2.46389
3981321134,-0.0319309,-0.932392,2.49006
3981321146,-0.0396993,-0.944951,2.51169
3981321157,-0.0536476,-0.958117,2.54676
3981321168,-0.0621762,-0.964875,2.57034
3981321180,-0.0668076,-0.974306,2.59728
3981321190,-0.0727295,-0.982009,2.62178
3981321202,-0.0772796,-0.994334,2.65089
3981321214,-0.0848522,-1.00173,2.68477
3981321226,-0.0923276,-1.01765,2.71203
3981321237,-0.10041,-1.03413,2.74252
3981321248,-0.105668,-1.05752,2.78726
3981321260,-0.110206,-1.06624,2.8189
3981321274,-0.114105,-1.08321,2.83971
3981321286,-0.116049,-1.09303,2.86771
3981321298,-0.123412,-1.10337,2.89215
3981321309,-0.127728,-1.11809,2.92544
3981321320,-0.13407,-1.1242,2.9469
3981321331,-0.141133,-1.13215,2.9657
3981321343,-0.146515,-1.13483,2.98278
3981321354,-0.1572,-1.1399,2.99749
3981321367,-0.160984,-1.13981,3.01878
3981321379,-0.170619,-1.14543,3.04326
3981321391,-0.17545,-1.1527,3.06812
3981321403,-0.190955,-1.15926,3.09597
3981321416,-0.218014,-1.17765,3.13347
3981321427,-0.234712,-1.19537,3.16097
3981321441,-0.253539,-1.20265,3.18835
3981321453,-0.270703,-1.21985,3.21476
3981321467,-0.291202,-1.22737,3.2466
3981321478,-0.309027,-1.24498,3.28225
3981321490,-0.31977,-1.25567,3.30594
3981321501,-0.334081,-1.26139,3.32704
3981321512,-0.346497,-1.27178,3.35261
3981321524,-0.35714,-1.28034,3.37888
3981321535,-0.372688,-1.27577,3.4097
3981321546,-0.377472,-1.29248,3.43902
3981321558,-0.402981,-1.30273,3.48836
3981321571,-0.416093,-1.31053,3.52281
3981321582,-0.438114,-1.33093,3.55588
3981321595,-0.444579,-1.35043,3.58852
3981321609,-0.467343,-1.36642,3.62461
3981321620,-0.479862,-1.37925,3.65344
3981321632,-0.490832,-1.39086,3.68566
3981321644,-0.51068,-1.40591,3.7086
3981321655,-0.522464,-1.41166,3.72771
3981321668,-0.534374,-1.41999,3.74797
3981321679,-0.547429,-1.4232,3.76544
3981321690,-0.560367,-1.42748,3.78513
3981321702,-0.570214,-1.43365,3.80692
3981321713,-0.581461,-1.43983,3.82977
3981321725,-0.613487,-1.4476,3.86886
3981321737,-0.63266,-1.46245,3.8975
3981321749,-0.655777,-1.47381,3.92165
3981321760,-0.673601,-1.48623,3.94822
3981321771,-0.694787,-1.4981,3.97739
3981321783,-0.709429,-1.51213,4.00024
3981321795,-0.731927,-1.52557,4.03591
3981321806,-0.746051,-1.53305,4.0559
3981321817,-0.761847,-1.53932,4.07839
3981321829,-0.781969,-1.54535,4.10061
3981321840,-0.797622,-1.55214,4.12235
3981321852,-0.829583,-1.55989,4.16021
3981321864,-0.842555,-1.57273,4.18845
3981321875,-0.865426,-1.58171,4.21393
3981321887,-0.884342,-1.5955,4.23843
3981321901,-0.899888,-1.60523,4.26376
3981321914,-0.919365,-1.61643,4.2898
3981321926,-0.93908,-1.62579,4.31225
3981321938,-0.975537,-1.63986,4.34765
3981321950,-0.990572,-1.65121,4.36661
3981321962,-1.01128,-1.65985,4.38512
3981321977,-1.02934,-1.66365,4.40411
3981321989,-1.04545,-1.67249,4.42155
3981322000,-1.06379,-1.67887,4.43761
3981322010,-1.09069,-1.68402,4.4609
3981322021,-1.11125,-1.68769,4.47795
3981322033,-1.1349,-1.69411,4.49758
3981322044,-1.16286,-1.70091,4.51662
3981322055,-1.19006,-1.7123,4.534
3981322066,-1.21688,-1.72048,4.54913
3981322076,-1.25372,-1.7348,4.57645
3981322087,-1.27834,-1.74157,4.59282
3981322098,-1.30553,-1.74747,4.60907
3981322109,-1.32837,-1.75306,4.6218
3981322119,-1.34705,-1.75945,4.63695
3981322130,-1.36966,-1.76372,4.65136
3981322141,-1.39951,-1.7697,4.67507
3981322151,-1.42359,-1.77167,4.68924
3981322163,-1.44562,-1.77858,4.70947
3981322174,-1.47389,-1.78005,4.72672
3981322185,-1.49864,-1.7902,4.74402
3981322196,-1.52609,-1.79911,4.76251
3981322207,-1.56544,-1.813,4.78665
3981322218,-1.59536,-1.82004,4.80322
3981322230,-1.62159,-1.82905,4.81921
3981322241,-1.6481,-1.83523,4.83727
3981322251,-1.6744,-1.84448,4.85152
3981322262,-1.69962,-1.85025,4.86577
3981322274,-1.72263,-1.85414,4.88041
3981322285,-1.76108,-1.85698,4.89866
3981322296,-1.78084,-1.86155,4.91022
3981322307,-1.80503,-1.86429,4.92351
3981322318,-1.82924,-1.86637,4.93515
3981322329,-1.85753,-1.86752,4.94977
3981322343,-1.88554,-1.87232,4.95931
3981322353,-1.93938,-1.8816,4.98069
3981322364,-1.96696,-1.88863,4.99129
3981322376,-1.99946,-1.89841,5.00092
3981322388,-2.02994,-1.90551,5.00646
3981322426,-2.07725,-1.91472,5.0193
3981322439,-2.10513,-1.91798,5.02775
3981322449,-2.13047,-1.92248,5.03508
3981322461,-2.15398,-1.92657,5.04421
3981322472,-2.17736,-1.92946,5.05338
3981322484,-2.21447,-1.93315,5.06709
3981322497,-2.24076,-1.93396,5.0773
3981322508,-2.26662,-1.93497,5.08824
3981322519,-2.29173,-1.93778,5.09922
3981322530,-2.33547,-1.94073,5.11387
3981322541,-2.36827,-1.94553,5.12154
3981322552,-2.39982,-1.95144,5.13165
3981322563,-2.4319,-1.95683,5.13981
3981322581,-2.46306,-1.96315,5.14855
3981322593,-2.51351,-1.96826,5.16471
3981322604,-2.5403,-1.97733,5.17411
3981322615,-2.57446,-1.97854,5.18195
3981322625,-2.59753,-1.98448,5.18927
3981322637,-2.62546,-1.98616,5.1967
3981322648,-2.65767,-1.99003,5.20837
3981322659,-2.68221,-1.99259,5.21323
3981322670,-2.70759,-1.99153,5.2227
3981322681,-2.73439,-1.99073,5.2294
3981322692,-2.78061,-1.99514,5.23663
3981322703,-2.81314,-1.99593,5.24725
3981322714,-2.84501,-2.0031,5.25335
3981322724,-2.87709,-2.00788,5.25914
3981322735,-2.92394,-2.00868,5.26272
3981322747,-2.95647,-2.00975,5.26905
3981322761,-2.98516,-2.01514,5.26996
3981322771,-3.01384,-2.01705,5.27449
3981322782,-3.0539,-2.01932,5.28484
3981322793,-3.07786,-2.0205,5.28997
3981322804,-3.11766,-2.02047,5.30046
3981322817,-3.14611,-2.01907,5.30645
3981322829,-3.18021,-2.01692,5.3155
3981322839,-3.21326,-2.01989,5.31922
3981322850,-3.2465,-2.02251,5.32895
3981322860,-3.29347,-2.02924,5.33989
3981322870,-3.32655,-2.03686,5.3475
3981322881,-3.3612,-2.04333,5.35431
3981322892,-3.39517,-2.04906,5.36113
3981322903,-3.42537,-2.05132,5.3701
3981322914,-3.46629,-2.05838,5.37444
3981322924,-3.49238,-2.06128,5.37648
3981322939,-3.5188,-2.06142,5.38067
3981322950,-3.54354,-2.05945,5.38532
3981322961,-3.58325,-2.05729,5.38434
3981322971,-3.60847,-2.05697,5.38773
3981322982,-3.63873,-2.05318,5.38657
3981322993,-3.68624,-2.05581,5.38626
3981323004,-3.71866,-2.0577,5.38709
3981323014,-3.75154,-2.05842,5.38619
3981323025,-3.79749,-2.06484,5.38482
3981323035,-3.824,-2.06633,5.37794
3981323045,-3.85224,-2.06941,5.37989
3981323056,-3.87928,-2.07048,5.38105
3981323067,-3.92034,-2.06968,5.39158
3981323077,-3.94521,-2.06987,5.39858
3981323087,-3.97414,-2.06713,5.40519
3981323098,-4.01582,-2.0648,5.41195
3981323110,-4.04431,-2.06748,5.41297
3981323120,-4.08994,-2.07166,5.41725
3981323131,-4.12203,-2.07506,5.42223
3981323142,-4.14898,-2.08136,5.42494
3981323152,-4.18058,-2.08505,5.4316
3981323163,-4.22951,-2.09045,5.43745
3981323173,-4.25485,-2.09679,5.44046
3981323183,-4.28361,-2.10097,5.44499
3981323193,-4.31119,-2.10415,5.44918
3981323203,-4.34501,-2.10509,5.45157
3981323213,-4.36407,-2.1047,5.45551
3981323223,-4.38444,-2.1043,5.45821
3981323235,-4.4178,-2.10188,5.46507
3981323246,-4.4399,-2.0991,5.46792
3981323256,-4.49485,-2.09725,5.46943
3981323266,-4.53455,-2.09769,5.46538
3981323276,-4.56587,-2.09918,5.46006
3981323286,-4.60422,-2.10525,5.45572
3981323300,-4.63804,-2.10071,5.44782
3981323310,-4.69619,-2.10261,5.44155
3981323320,-4.72583,-2.10323,5.43823
3981323330,-4.75735,-2.10145,5.43381
3981323339,-4.78249,-2.10035,5.43238
3981323349,-4.81951,-2.09965,5.42923
3981323359,-4.83838,-2.10104,5.42864
3981323369,-4.86361,-2.0999,5.43004
3981323379,-4.89037,-2.09758,5.43005
3981323389,-4.93269,-2.09291,5.42966
3981323399,-4.96561,-2.08969,5.42971
3981323409,-5.00626,-2.08335,5.42518
3981323419,-5.04132,-2.08536,5.4178
3981323428,-5.09217,-2.09187,5.41599
3981323438,-5.12752,-2.09401,5.41762
3981323448,-5.1636,-2.09704,5.41423
3981323459,-5.19325,-2.09923,5.41038
3981323468,-5.22206,-2.09952,5.40804
3981323478,-5.26142,-2.09764,5.40448
3981323487,-5.28871,-2.09466,5.40117
3981323497,-5.30804,-2.09447,5.39746
3981323506,-5.35084,-2.08971,5.39522
3981323516,-5.39385,-2.08349,5.38788
3981323526,-5.4266,-2.08023,5.38491
3981323535,-5.4634,-2.08002,5.37568
3981323545,-5.51183,-2.08273,5.36412
3981323554,-5.55265,-2.08008,5.35825
3981323564,-5.57983,-2.0834,5.35139
3981323573,-5.61012,-2.08416,5.34728
3981323583,-5.64062,-2.08385,5.34905
3981323593,-5.67636,-2.08436,5.34471
3981323602,-5.7,-2.08341,5.34527
3981323612,-5.72343,-2.08114,5.34077
3981323624,-5.74928,-2.07996,5.34052
3981323634,-5.77348,-2.07643,5.33846
3981323643,-5.81246,-2.07139,5.33984
3981323653,-5.84149,-2.06634,5.34272
3981323662,-5.87861,-2.06564,5.34593
3981323672,-5.9087,-2.06499,5.34233
3981323683,-5.94123,-2.07017,5.34247
3981323692,-5.97669,-2.07194,5.34177
3981323702,-6.01246,-2.0758,5.33741
3981323713,-6.06099,-2.07697,5.33302
3981323723,-6.09,-2.08005,5.33397
3981323733,-6.11469,-2.08015,5.32908
3981323743,-6.14052,-2.07723,5.32582
3981323755,-6.16456,-2.07433,5.32566
3981323765,-6.21439,-2.07204,5.32175
3981323776,-6.23178,-2.06779,5.30945
3981323786,-6.2647,-2.06474,5.30682
3981323796,-6.30135,-2.06079,5.3066
3981323807,-6.34179,-2.05883,5.30208
3981323816,-6.39839,-2.05796,5.29552
3981323826,-6.43587,-2.05707,5.29049
3981323836,-6.47248,-2.05586,5.289
3981323846,-6.50547,-2.05836,5.28315
3981323856,-6.55775,-2.0595,5.27718
3981323866,-6.58612,-2.06128,5.27327
3981323876,-6.61412,-2.05978,5.27128
3981323886,-6.6386,-2.05872,5.27149
3981323896,-6.66173,-2.0564,5.27001
3981323906,-6.70305,-2.05214,5.27047
3981323916,-6.73005,-2.04886,5.26988
3981323926,-6.76208,-2.04513,5.26952
3981323936,-6.79799,-2.04204,5.27145
3981323945,-6.83096,-2.04245,5.27038
3981323956,-6.88898,-2.04704,5.26627
3981323966,-6.92641,-2.04953,5.2678
3981323976,-6.95981,-2.0574,5.26881
3981323986,-6.99468,-2.05963,5.27363
3981323996,-7.02935,-2.06054,5.2747
3981324006,-7.05957,-2.06586,5.2765
3981324018,-7.10281,-2.06484,5.2762
3981324028,-7.13073,-2.06451,5.27544
3981324037,-7.1619,-2.06288,5.2755
3981324047,-7.19315,-2.06063,5.27643
3981324057,-7.24333,-2.05499,5.27702
3981324067,-7.28167,-2.0526,5.2791
3981324077,-7.31388,-2.04896,5.27598
3981324087,-7.35623,-2.05192,5.27389
3981324097,-7.39541,-2.05309,5.26966
3981324107,-7.45634,-2.05799,5.26245
3981324117,-7.49688,-2.05821,5.26058
3981324127,-7.53542,-2.05781,5.25635
3981324137,-7.56646,-2.05881,5.25597
3981324146,-7.59848,-2.06008,5.25352
3981324156,-7.64608,-2.06152,5.25183
3981324166,-7.67134,-2.06125,5.25123
3981324175,-7.69556,-2.06009,5.25172
3981324185,-7.72204,-2.05534,5.25078
3981324194,-7.74937,-2.0523,5.24906
3981324204,-7.77855,-2.0499,5.24897
3981324213,-7.82618,-2.04985,5.25077
3981324223,-7.86077,-2.05169,5.25305
3981324233,-7.88956,-2.05389,5.24918
3981324246,-7.92274,-2.05297,5.25173
3981324255,-7.97621,-2.05881,5.25732
3981324265,-8.01082,-2.05987,5.25757
3981324275,-8.04075,-2.06068,5.262
3981324285,-8.06888,-2.05942,5.26118
3981324295,-8.10105,-2.06031,5.26326
3981324305,-8.13177,-2.05907,5.26321
3981324314,-8.17253,-2.05951,5.26184
3981324323,-8.19716,-2.05983,5.25954
3981324333,-8.23473,-2.05542,5.26323
3981324343,-8.27036,-2.05352,5.25927
3981324352,-8.32553,-2.04975,5.25844
3981324362,-8.36007,-2.05014,5.25171
3981324372,-8.40134,-2.04937,5.25279
3981324381,-8.44047,-2.04612,5.25208
3981324391,-8.47517,-2.05031,5.24559
3981324403,-8.50938,-2.04921,5.24347
3981324413,-8.55888,-2.04711,5.2366
3981324423,-8.58903,-2.04844,5.23512
3981324432,-8.61852,-2.04789,5.23052
3981324442,-8.64903,-2.04948,5.23221
3981324453,-8.68035,-2.04816,5.23547
3981324462,-8.72402,-2.04965,5.23919
3981324472,-8.75391,-2.04988,5.23713
3981324483,-8.78917,-2.05134,5.24225
3981324493,-8.82473,-2.05507,5.24275
3981324502,-8.8562,-2.05967,5.24188
3981324512,-8.89317,-2.06031,5.23975
3981324521,-8.92955,-2.06648,5.24137
3981324531,-8.98617,-2.07244,5.24261
3981324540,-9.01769,-2.07641,5.24225
3981324550,-9.04752,-2.07816,5.24098
3981324560,-9.07539,-2.07906,5.24179
3981324570,-9.10528,-2.07749,5.24024
3981324580,-9.13228,-2.07885,5.24614
3981324589,-9.16177,-2.0761,5.24606
3981324598,-9.20748,-2.06985,5.24494
3981324609,-9.24158,-2.06465,5.24079
3981324618,-9.2812,-2.06421,5.23812
3981324629,-9.32149,-2.06125,5.23318
3981324638,-9.35633,-2.06366,5.22768
3981324647,-9.40879,-2.06507,5.21903
3981324657,-9.44207,-2.06617,5.21499
3981324666,-9.47482,-2.06539,5.21341
3981324675,-9.50283,-2.06771,5.21171
3981324684,-9.53072,-2.06783,5.21215
3981324694,-9.55767,-2.06811,5.21189
3981324703,-9.59719,-2.06769,5.21422
3981324712,-9.62572,-2.06657,5.21628
3981324721,-9.65325,-2.06424,5.22051
3981324731,-9.70029,-2.06023,5.22559
3981324740,-9.73546,-2.05987,5.22779
3981324749,-9.7666,-2.06018,5.22711
3981324759,-9.82015,-2.06406,5.22229
3981324769,-9.85211,-2.06668,5.22342
3981324781,-9.88591,-2.06555,5.22621
3981324791,-9.91805,-2.06897,5.22627
3981324800,-9.95198,-2.07141,5.2317
3981324810,-9.99596,-2.07598,5.23386
